question_id,question_type,question_text,difficulty,primary_tables,expected_output_rows,workflow_complexity,generation_model,generation_timestamp,reference_sql,function_sequence,expected_result_summary,success_criteria
1,sql,What are the top 10 government spending categories by total outlays?,medium,budget_outlays,10,aggregation,gpt-4o,2025-09-01T15:36:17.005784,"SELECT function_name, SUM(outlay_amount) AS total_outlays
FROM budget_outlays
WHERE function_name IS NOT NULL
GROUP BY function_name
ORDER BY total_outlays DESC
LIMIT 10;",,10 rows expected,
2,sql,Which budget functions spend more than $100 billion annually?,hard,budget_outlays,0,advanced,gpt-4o,2025-09-01T15:36:18.318017,"SELECT function_name, SUM(outlay_amount) AS total_outlays
FROM budget_outlays
WHERE outlay_amount IS NOT NULL
GROUP BY function_name
HAVING SUM(outlay_amount) > 100000000000
ORDER BY total_outlays DESC;",,0 rows expected,
3,sql,What are the smallest government spending categories by total outlays?,hard,budget_outlays,10,advanced,gpt-4o,2025-09-01T15:36:19.906492,"SELECT 
    function_name, 
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
GROUP BY 
    function_name
HAVING 
    SUM(outlay_amount) IS NOT NULL
ORDER BY 
    total_outlays ASC
LIMIT 10;",,10 rows expected,
4,sql,Which departments have outlays between $50-200 billion?,hard,budget_outlays,0,advanced,gpt-4o,2025-09-01T15:36:21.727053,"SELECT function_name AS department, 
       SUM(outlay_amount) AS total_outlays
FROM budget_outlays
WHERE outlay_amount IS NOT NULL
GROUP BY function_name
HAVING total_outlays BETWEEN 50000000000 AND 200000000000
ORDER BY total_outlays ASC;",,0 rows expected,
5,sql,What spending categories exist in the defense budget?,easy,budget_outlays,4,simple_query,gpt-4o,2025-09-01T15:36:23.155907,"SELECT DISTINCT function_name AS defense_spending_category
FROM budget_outlays
WHERE function_name LIKE '%Defense%'
  AND function_name IS NOT NULL
ORDER BY defense_spending_category ASC;",,4 rows expected,
6,sql,Which economic indicators are tracked in the Consumer Price Index data?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:36:24.573133,"SELECT DISTINCT category
FROM time_series_data
WHERE source = 'Consumer Price Index'
  AND category IS NOT NULL
ORDER BY category ASC;",,0 rows expected,
7,sql,What categories of goods and services are measured for price changes?,easy,time_series_data,12,simple_query,gpt-4o,2025-09-01T15:36:25.876510,"SELECT DISTINCT category
FROM time_series_data
WHERE category IS NOT NULL
ORDER BY category ASC;",,12 rows expected,
8,sql,Which worker classifications are included in the Employment Cost Index?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:36:27.493014,"SELECT DISTINCT category AS worker_classification
FROM time_series_data
WHERE source = 'Employment Cost Index'
  AND category IS NOT NULL
ORDER BY category ASC;",,0 rows expected,
9,sql,What time periods are covered in the economic data?,easy,industry_gdp,1,simple_query,gpt-4o,2025-09-02T08:46:43.181310,"SELECT MIN(year) AS start_year, MAX(year) AS end_year FROM industry_gdp WHERE year IS NOT NULL;",,1 rows expected,
10,sql,Which industries are tracked for GDP contribution measurements?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:36:30.083662,"SELECT DISTINCT category
FROM time_series_data
WHERE source = 'BEA'
  AND category IS NOT NULL
ORDER BY category ASC;",,0 rows expected,
